,index,Title_Date,DATA
81,81, NHSO recruits 1330 hotline volunteers   Thu 08 July 2021  ,"     NHSO recruits 1330 hotline volunteers    National Health Security Office (NHSO) is recruiting volunteers to assist its 1330 hotline operation.    The volunteers will conduct phone screening and interviews with COVID-19 cases under home quarantine, follow up on their health conditions, and do other requesting tasks.    NHSO targets volunteers with healthcare field backgrounds, including physicians, dentists, pharmacists, nurses, medical technologists, and physical therapists who retired or do not work full-time jobs.    NHSO Secretary-General, Dr Jadej Thammathat-Aree said that volunteer recruitment aimed to expand the capacity of the NHSO 1330 hotline, which becomes one of the primary contact points for COVID-19 patients seeking hospital beds.    The number of new infections increases between 2,000 and 3,000 cases a day. The number of operators is not enough to handle the flood of calls from people needing help.   The volunteers will help the NHSO hotline staff screen people with positive test results and follow up on their health conditions while under home quarantine.    Patients with mild symptoms will be classified as green and placed in field hospitals or hospitels. Patients having problems in breathing or having chronic diseases will be classified as yellow, and red for those in severe conditions. Both groups will be sent to hospitals.   “No one should be left waiting at home and experience worsen health conditions or die in the worst case. To help them find hospital beds as soon as possible will increases the chance of their survival,” said Dr Jadej.   “We want to encourage everyone having a background in the healthcare field to volunteer with us.” Apply via NHSO phone number 02-5540506, or fill up a volunteer form at https://forms.gle/juH1kwa7dSX3XT629  "
82,82, New benefits package for VITT diagnosis and treatment   Mon 14 June 2021  ,"   New benefits package for VITT diagnosis and treatment    National Health Security Board approved laboratory testing and medication for treating Vaccine-induced Immune Thrombotic Thrombocytopenia (VITT) in the Universal Coverage Scheme (UCS)’s benefits package.    VITT is a prothrombotic syndrome observed in a small number of people who received adenoviral vector-based vaccines in Covid-19 vaccination programs. The exact incidence of VITT appears to be rare. Only one in 125,000 to one million vaccine recipients develop this condition.     VITT symptoms include severe headache, numbness, visual changes, difficulty breathing, one-sided paralysis, abdominal pain, nausea and vomiting, petechiae, leg pain, or swelling. The symptoms may show up in individuals within four to 30 days after vaccination.       Anutin Charnvirakul, Public Health Minister and the NHS board chairman, said that the introduction of VITT laboratory testing and treatment in the UCS’s benefits package aimed to bring confidence to the COVID-19 mass vaccination program.     “Thai government will take care of people experiencing adverse effects after receiving the COVID-19 vaccine,” said Anutin.    The vaccine recipients who find implications caused by VITT can request free laboratory testing at their registered hospitals. They will receive free treatment, too, if they are diagnosed with VITT.      NHSO Secretary-General Dr Jadej Thammathach-Aree said that NHSO would cover the cost of four items relating to VITT diagnosis and treatment;   Complete blood count (CBC), maximum of 50 baht per test Heparin-PF4 antibody (lgG) ELISA assay, maximum of 1,550 baht per test Heparin-induced platelet activation test (HIPA), maximum of 1,550 baht per test Human normal immunoglobulin, intravenous (IVIG) for treating VITT.     The NHSO prepares around 9.28 million baht to cover the cost of IVIG, said Dr Jadej.    "
83,83, A guideline issued for a COVID-19 vaccine side effects fund   Thu 20 May 2021  ,"   A guideline issued for a COVID-19 vaccine side effects fund   National Health Security Office (NHSO) issues a guideline for compensating COVID-19 vaccine recipients who experience adverse effects.    A guideline sets criteria and steps for the compensation claims. Only the Thai recipients of the COVID-19 vaccine provided by the government are eligible to submit the claims. They must receive the vaccine from 5 April onward.    They or their families can proceed with the claims at hospitals providing vaccines to them, provincial health offices, or NHSO regional offices. The submission can take place within two years after the adverse effects occur.   Each claim submission will be scrutinized by the subcommittee set in each NHSO regional area. The amount of compensation depends on the damages caused by the vaccination side effects and the financial condition of the vaccine recipients.    A maximum of 400,000 baht in compensation will be paid to a recipient or his/her family if he/she is dead or permanently disabled. A recipient who lost an organ will receive a maximum of 240,000 baht. A maximum of 100,000 baht will be paid for any injury or illness sustained.      The payment will proceed within five days after the subcommittee approves the claims.  Dr Jadej Thammatach-aree, the NHSO’s Secretary-General, said that the NHSO set up a 100-million-baht fund for paying the compensation.    In the mid of May, officers at the NHSO region 1 office in Chiang Mai and region 10 office in Ubon Ratchathani reported receiving 218 and 49 claim submissions, respectively, from health workers.     For region 1, the adverse effects occurred in 0.24% of health workers receiving 91,551 doses of COVID-19 vaccine in total. Only 0.05% of them required hospital admission.    “Half of the health workers experiencing side effects had minor symptoms, such as temporary fever and muscle pain. The most-reported severe symptoms are high fever and muscle cramps,” said Dr Jadej.   “It proves that vaccination is safe. However, we still need to provide compensation to those experience adverse effects to bring confidence to the government’s vaccination program, while assuring the health protection of Thais.”   The Thai government has provided 1.46 million doses to its people, with no report of deadly side effects. The Chinese-made Sinovac and British-Swedish AstraZeneca are the primary vaccines distributed by the Thai government.    Dr Jadej urges everyone to reach out to health facilities or government officials to request vaccination.   “Only successful vaccination will return our normal life,” he said.         "
84,84, COVID-19 vaccine recipients experiencing adverse events will be compensated   Wed 05 May 2021  ,"   COVID-19 vaccine recipients experiencing adverse events will be compensated   COVID-19 vaccine recipients can request compensation from the Thai government, via National Health Security Office (NHSO), if they experience post-vaccination adverse events.    The compensation will be offered to the vaccine recipients based on the guideline drafted by NHSO in collaboration with Public Health Ministry. The guideline, to be released this week, will include procedures and methods for the vaccine recipients to file the compensation request. Only Thais and health workers will be eligible for the compensation.     ""Though the COVID-19 vaccine passed the clinical trial, side effects can happen depending on recipients' health conditions,"" said NHSO Secretary-General Dr Jadej Thammathat-Aree.   ""We will provide preliminary compensation to mitigate the vaccination's side effects for the recipients, without any procedures to find who is right and wrong. It shall bring public confidence toward the vaccination program, which is an important step to boost public health measures and prevent severe loss caused by the pandemic.""   The compensation provision was approved during the NHSO board’s last-week meeting chaired by Public Health Ministry Anutin Charnvirakul. The sources of the compensation fund will come from the Thai government's emergency decree loan.  "
85,85, ​No hospital charges for COVID-19 patients   Mon 03 May 2021  ,"   No hospital charges for COVID-19 patients   National Health Security Office (NHSO) urges hospital operators not to charge COVID-19 patients for any health services. Thai government will reimburse the hospitals for any expense incurred.   With the rising COVID-19 cases in Thailand, hospital beds and facilities are in high demand, especially in Bangkok, where the new coronavirus cluster was detected early April.    NHSO Secretary-General Dr Jadej Thammathat-Aree said that hospitals providing treatment to COVID-19 patients will be reimbursed.   The sources of the reimbursement fund come from the Thai government's three healthcare schemes; Universal Coverage Scheme (run by the NHSO), Social Security Scheme (run by Social Security Office), and Civil Servant Medical Benefits (run by the Comptroller General's Department).     Currently, the NHSO pays the cost of COVID-19 testing for every Thai regardless of their registered healthcare schemes. If a person is tested positive, an operator of a healthcare scheme that person registered with will reimburse the hospitals for the cost of providing treatment.      ""Thai government makes a strong commitment to supporting every COVID-19 patient and hospital nationwide,"" said Dr Jadej, responding to the reports on social media that find hospital operators charged the patients.   Both public and private hospital operators can process the claims with healthcare scheme operators if the schemes' beneficiaries admit to their hospitals. If patients have private insurance, the health service fees shall be paid by the insurance companies first. The schemes' operators will reimburse the additional cost.   Any hospital operator will receive approximately 800,000 baht for providing treatment to a severe COVID-19 patient. Around 400,000 baht will be paid for treating an uncritical patient. Thai government reimburses the hospital operators for the following items.   1. Outpatient service -Lab test and specimen collection. -COVID-19 treatment (a maximum of 7,200 baht/case)  -Patient transfer service (depends on travel distance) -Personal Protective Equipment (PPE) and cleaner (a maximum of 3,700 baht/case)    2. Inpatient service -Lab test and specimen collection. -COVID-19 treatment (a maximum of 7,200 baht/case)  -Hospital room charge (2,500 baht/day/case) -Hospitel, cohort ward, or camp isolation (1,500 baht/day/case) -Patient transfer service (depends on travel distance) -Personal Protective Equipment (PPE) and cleaner (a maximum of 3,700 baht/case) -Protective suit (740 baht/unit)  -Medical and protective equipment used for patients with few symptoms (11,100 baht/day/case)  -Medical and protective equipment used for patients in severe conditions (22,200 baht/day/case)    3. Laboratory test  -Nasopharyngeal/throat swab specimen test RT-PCR (1,600 baht/test, 600 baht for staff compensation, and 100 baht for specimen collection.)  - Combination of RT-PCR such as; saliva sample test (320 baht/test, 100 baht for staff fees, and 100 baht for specimen collection), nasopharyngeal/throat swab specimen test (400 baht/test, 75 baht for staff fees, and 100 baht for specimen collection), and repeat RT-PCR for persons having positive test results (1,600 baht/test, 200 baht for staff fees and specimen collection) -Antigen test (a maximum of 1,200 baht/test) -Antibody test (a maximum of 350 baht/test)    "
86,86, UCS public hearings to be held despite the pandemic   Mon 03 May 2021  ,"   UCS public hearings to be held despite the pandemic   National Health Security Office (NHSO) holds virtual public hearings to improve the Universal Coverage Scheme (UCS) and answer stakeholders' needs.    NHSO does not suspend its public hearings despite the new-emerging phase of COVID-19 in Thailand, said Dr Jedsada Chokdamrongsuk, chairman of NHSO's subcommittee for communication and public hearing.    ""Public hearing is the heart of UCS's establishment. NHSO commits to engage all stakeholders in its decision-making process as described in article 18 of the National Health Security Act, which became effective in 2002,"" he said.   NHSO has annually run public hearings to get feedback and hear suggestions from UCS stakeholders, including health providers, patient groups, local administrative organizations, and vulnerable populations.     This year, series of public hearings are run from early March to June, mainly via Facebook live and Zoom meetings due to the pandemic. The hearings were held in four out of 13 NHSO's regional areas such as region 13 (Bangkok), region 10 (Ubon Ratchathani), region 9 (Nakhon Ratchasima), and region 8 (Udon Thani).    NHSO will organize virtual public hearings in the rest of the regional areas by the end of May. All opinions will be gathered, analyzed, and put in policy recommendations to be discussed during the national-level public hearing on 25 June.   There are seven main issues to be discussed: the scope of public health services provided under UCS, the standard of health services, UCS fund management, NHSO's operation, Community Health Fund management, stakeholders participation, health literacy, and healthcare rights protection.    ""Since the introduction of UCS 18 years ago, we put a consistent effort on improving the scheme by increasing benefits package coverage, improving healthcare access, and healthcare rights protection for the beneficiaries,"" said Dr Jedsada.    ""We are well aware that public hearing gives the UCS ownership to all stakeholders, which make it a crucial element that brings sustainability to the UCS.""      "
87,87, Push forward a healthcare program for non-Thai prisoners   Mon 03 May 2021  ,"   Push forward a healthcare program for non-Thai prisoners   National Health Security Office (NHSO) pushes forward a healthcare program for non-Thai prisoners in collaboration with the Ministry of Justice and Public Health Ministry.    On April 5, the NHSO board chaired by Public Health Minister Anutin Charnvirakul had the resolution to push forward a healthcare program for non-Thai prisoners proposed by the Ministry of Justice.   NHSO Secretary-General Dr Jadej Thammathat-Aree revealed that 5.65% of inmates in Thailand, or around 19,000, are non-Thai. Among them are undocumented people (4,000) and foreigners (15,000) who are not covered by any healthcare schemes and health insurance.   Without healthcare coverage, public hospitals providing humanitarian healthcare services in prisons must carry a financial burden. According to Public Health Ministry, which runs public hospitals, hospital operators must pay between 13 and 14 million baht annually to cover the healthcare cost for non-Thai prisoners.   Meanwhile, Thai inmates are covered by the Universal Coverage Scheme (UCS), which provides healthcare access to 47 million Thais regardless of their social and financial status.   To solve this challenge, the Ministry of Justice, which operates prisons across Thailand, requested the Thai cabinet's approval to set a healthcare fund for non-Thai inmates. After receiving the request, the Secretariat of the Cabinet (SoC) turned to the NHSO for a recommendation.   ""NHSO board supports the Ministry of Justice's request. We agree that non-Thai prisoners shall access healthcare with no differences from others,"" said Dr Jadej, adding that the NHSO board will pass its recommendation to the SoC.   If it is approved, the fund will cover essential healthcare services for around 16,000 inmates at an early stage of a program. About 13.71 million baht will be required annually.   The source of the fund will come from Public Health Ministry and the central government. NHSO, of which staff has high experience managing the healthcare program for vulnerable populations, will take responsibility in providing and managing the fund after the program is firmly established.    "
88,88, NHSO's platforms for COVID-19 beds and screening test inquiries   Tue 27 April 2021  ,"   NHSO's platforms for COVID-19 beds and screening test inquiries   National Health Security Office (NHSO) uses its communication platforms to help COVID-19 patients find beds and screening test stations.     NHSO secretary-general Dr Jadej Thammathat-Aree said recently that COVID-19 patients could call the NHSO's 1330 hotline to require beds in healthcare facilities.    The hotline operators will coordinate with hospitals and health authorities to answer the needs of the patients. They can also contact hospitals to send ambulances to pick up Covid-19 patients.   In response to the surging number of Covid-19 cases, especially in Bangkok, NHSO has worked with Public Health Ministry, Bangkok Metropolitan Administration, and private hospitals to set up field hospitals to handle rising demands for beds.     Along with the NHSO's hotline, the Department of Medical Services (DMS), Ministry of Public Health and National Institute  for Emergency Medical (NIEM) also run 1668 and 1669 hotlines to support both patients and general people seeking further information on COVID-19 treatment facilities.   For those who require COVID-19 testing, they can check on the NHSO website (https://www.nhso.go.th/page/covid19) to find out the available screening test stations. They only need to fill up identification numbers and the date of birth on the website to get information access.    ""Those who are in the high-risk group, including showing symptoms, exposing to the confirmed cases, visiting pandemic-affected areas, or suspecting themselves to contract COVID-19, we encourage them to get screening tests at state and private hospitals,"" said Dr Jadej.   ""The services fees will be covered by NHSO.""    "
89,89, 3.75-billion-baht fund approved for fighting COVID-19    Mon 26 April 2021  ,"   3.75-billion-baht fund approved for fighting COVID-19    Thai cabinet approved a 3.75-billion-baht fund for National Health Security Office (NHSO) to support health units in COVID-19 emergency response.    The fund is a part of the government's one-trillion-baht loan decree to fight against the pandemic and mitigate its social and economic impact.    It will cover the cost for hospitals providing COVID-19 relevant services without interrupting other essential health services under Universal Health Coverage System.     NHSO secretary-general Dr Jadej Thammathat-Aree said that part of the recent approval fund would answer the increasing need for COVID-19 screening tests, following the discovery of highly contagious UK strain in local cases.    Initially, the screening test is provided to persons identified as ""Patient Under Investigation"" under the Department of Disease Control (DDC) 's guideline. They must show COVID-19 symptoms and have a history of visiting the pandemic-affected areas or work in quarantine facilities.    However, the recent local cases with UK variant tend to show no or very few symptoms, pushing the DDC to include ""doctor's diagnosis"" as a new condition to approve coronavirus screening tests.   As a result, more people require the tests recently despite showing no symptoms.  The government fund obtained by the NHSO will cover;   1.Nasopharyngeal/throat swab specimen test RT-PCR (NHSO will cover 1,600 baht  per test, 600 baht for staff compensation, and 100 for specimen collection.)    2.Combination of RT-PCR, such as;   - Pooled saliva samples (320 baht per test, 100 baht for staff fees, and 100 baht for specimen collection)    - Pooled nasopharyngeal and throat swab samples (400 baht per test, 75 baht for staff fees, and 100 baht for specimen collection)   - Repeat of RT-PCR for persons having positive test results (1,600 baht per test, 200 baht for staff fees and specimen collection)   3.Antigen test (No exceed than 1,200 baht per test)   4.Antibody test (No exceed than 350 baht per test)   It will also cover the cost for running negative pressure rooms (2,500 baht/case/day,) field hospitals and hospitels (1,500 baht/case/day.)   Though the Thai government encourages people to get COVID-19 testing and treatment at state hospitals, NHSO will cover the cost of services for patients getting service in private hospitals.    ""COVID-19 pandemic is an emergency situation that will bring the financial burden to patients if any healthcare schemes do not cover them.   We want everyone in Thailand to feel confident that if they follow doctors and hospital staff's guidance, they will not need to pay any fees,"" said Dr Jadej.     NHSO will reimburse the fees to the hospital operators directly.    In supporting hospital operators, NHSO has recently adjusted its claim process by allowing hospital operators to claim the cost for providing COVID-19 relevant services every two weeks.  In a normal situation, the claims process takes around one month to transfer public health funds to hospital operators.    ""This will maintain financial liquidity for hospital operators who must provide emergency services every day,"" said Dr Jadej.     "
90,90, Thai government ensures COVID-19 essential health services   Mon 19 April 2021  ,"   Thai government ensures COVID-19 essential health services   People at high risk of COVID-19 can request free COVID-19 testing at public and private hospitals across Thailand, and reserve hospital beds if they are tested positive, announced National Health Security Office (NHSO) and Public Health Ministry.     The announcement came during the surge of the coronavirus cases, which spread from an entertainment venue cluster in Bangkok early this month. As of April 16, more than 39,000 confirmed cases are reported in Thailand.       Dr Kritiya Sriprasert, the NHSO advisor, said during the Friday virtual seminar that the Thai government covered health service fees for several items, including laboratory tests, specimen sample collections, medicines, and personal protective equipment.    Free hospital room, meals, and transports for suspected and confirmed cases are also included in the government's health benefits package.   The seminar was held to explain the steps for requesting testing and reserve hospital beds. Beneficiaries of all healthcare schemes run by Thai government---Universal Coverage Scheme, Social Security Scheme, and Civil Servant Medical Benefits Scheme---can request COVID-19 services at any hospitals if they are at high risk of COVID-19.    A person at high risk includes one having close contact with an infected case---defined as having a conversation within one meter of an infected person for at least five minutes, or being within one meter of an infected person for a total of 15 minutes or more.   In a normal situation, beneficiaries of the government's healthcare schemes are encouraged to visit public hospitals. But as the coronavirus pandemic is an emergency situation, said Dr Kritiya, they can request health services at private hospitals if necessary.    NHSO, along with the other healthcare scheme's operators, will reimburse the service fees with private hospitals under the Universal Coverage for Emergency Patients (UCEP) program, aiming to increase people's access to emergency care and their chances of survival.    If the patients have private health insurance, they shall claim the service cost from the insurance providers first. Any extended cost outside the personal insurance coverage will be reimbursed by Thai government.     Dr Pathomporn Siraprapasiri from Public Health Permanent Secretary Office said during the seminar that the staff of hospitals entered by patients would find beds for patients based on their symptoms.    While waiting for lab test results, patients will be asked to stay under home quarantine. If their lab tests show negative results, they will be required to stay home and isolate themselves from others because the coronavirus symptoms may not show during their first lab tests.    If patients are tested positive, the hospital staff will seek available beds in their facilities or hospital networks.   Beds are available in three facility options; inpatient beds for those showing symptoms of pneumonia, field hospitals and hospitels (hotels that are adjusted for healthcare purposes) for those aged under 50, having good health and showing few symptoms.    People who use lab test services without going through hospitals, and if the lab facilities are not in the hospital networks, they will need to contact healthcare agencies to request hospital beds.   The contact points include NHSO's 1330 hotline, 1669 emergency hotline, and @Sabaideebot, a Line account created by Public Health Ministry.    Dr Pathomporn urges patients not to contact more than one of these channels, as they are all linked to one database.    It is reported that some people reserve beds with several channels, filling up data space and making information overlap. It consumes time and cost to clean up the data space.     "
91,91, NHSO covers COVID-19 testing fees for Thai people   Fri 16 April 2021  ,"  NHSO covers COVID-19 testing fees for Thai people   Every Thai at risk of contracting COVID-19 can get free test and treatment at any public and private hospitals. National Health Security Office (NHSO), the governmental organization overseeing Universal Coverage Scheme (UCS), will cover the cost of coronavirus health services for Thai people regardless of their registered healthcare schemes.   People at risk of contracting COVID-19 are identified as showing one of these symptoms; fever with body temperature over 37.5 degrees celsius, cough, running nose, sore throat, smell or taste loss, or shortness of breath.     They must also have a history of linking to one of these risk factors;   -Visit COVID-19 affected areas 14 days before showing the symptoms above. High-risk areas are often crowded with people, including fresh markets, department stores, hospitals, entertainment venues, and public transport hubs.   -Reside or visit places/countries with the report of COVID-19 cases 14 days before showing the symptoms above.      -Work in quarantine facilities      NHSO secretary-general Dr Jadej Thammatach-aree raised concern for the new wave of COVID-19, which starts from an entertainment venue cluster discovered in Bangkok this week.    Many cases are reported to have UK strain that show no or few symptoms, and can spread faster than the kind previously found in Thailand.   “If you have a history of visiting COVID-19 affected areas or contacting people visiting those areas, though you have no symptoms, you can request free test from both public and private hospitals. Don’t worry about the service fees,” said Dr Jadej.   Public Health Ministry, which runs public hospitals, and the Private Hospital Association, assure that health workers will provide COVID-19 testing to anyone at risk of contracting the virus. They will receive free treatment if they test positive. NHSO will reimburse the services fees with the hospital operators.   For migrant workers, the Department of Disease Control will cover the cost of health service fees.    ""I can assure that all health workers will provide the best services. If you have one of the symptoms, with a history of visiting COVID-19 affected exposure to the coronavirus, don't hesitate to visit doctors. It's better to reach out to hospitals before you are severely sick,"" said Dr Jadej.   If you have any inquiries, contact NHSO's 1330 Hotline or DDC's 1422 Hotline.     "
92,92, Cut back on sodium intake to live well and longer with or without kidney disease   Mon 05 April 2021  ,"  Cut back on sodium intake to live well and longer with or without kidney disease   As data by the Nephrology Society of Thailand (NST) shows Thai people on average consume sodium twice the level they should, it is now more necessary than ever to carry out a public campaign aimed at curbing consumers’ daily sodium intake and risk of developing diseases associated with salty food eating habits, especially kidney failure. “Habit and attitude change [to eat less salty food] will be an important mechanism for preventing diseases [associated with high sodium consumption],” said Dr Sakchai Kanjanawatana, secretary-general of the National Health Security Office (NHSO).     “We will therefore have to campaign for consumers to cut back on their sodium intake by at least half,” he said, marking World Kidney Day 2021 on March 11.   The World Health Organisation (WHO) has warned member countries to reduce their sodium consumption rates by 30%, said Assoc Prof Dr Surasak Kantachuvesiri, president of the NST.   Excessive salt intake can lead to high blood pressure (hypertension), stroke, ischemic heart disease and kidney disease, which means consuming less salt will help save tens of billions of baht in state healthcare budget per year, he said.   In Thailand there are about 22 million people with health problems associated with salty food eating, as the average rate of salt and sodium consumption is 3,600 milligram per day, or twice the proper sodium intake a person should get, he said.   According to a guideline by WHO, the highest overall sodium intake per day per person shouldn’t exceed 2,000mg.   “A vast majority of Thai people tend to like eating salty food, especially the people in the South where the average sodium consumption rate is a lot higher than those of other regions,” he said.   About 8 million people have kidney disease, 13 million people have high blood pressure, 25 million others have heart disease and paralysis, and the other 5 million have diabetes, he said.   Each year about 40,000 people die of heart disease, while the average age of patients diagnosed with kidney disease is decreasing, he said, adding that these health problems are linked with the high consumption rate of salty food, particularly instant food and snacks.   Kidney disease becomes a high-cost health problem when reaching a stage where the patient requires kidney dialysis or a kidney transplant, he said.   Kidney dialysis costs at least 200,000 baht per person per year, while those undergoing a kidney transplant will need immunosuppressants, drugs or medicines that lower the body's ability to reject a transplanted organ, for the rest of their lives, he said.   These factors cost Thailand’s three healthcare schemes altogether more than 20 billion baht in additional expenses, he said.   The three schemes are the Civil Servant Medical Benefit Scheme (CSMBS) for civil servants and their families, Social Security Scheme (SSS) for private employees, and the Universal Coverage Scheme (UCS).   These health problems actually can be prevented by such as adjusting eating and drinking habits, he said.   Drinking plenty of clean water, cutting back on eating salty food, stop drinking alcohol and smoking cigarettes, and using herbal medicines properly will help prevent and delay kidney degeneration, he said.   Reducing salt consumption by 10%, deaths linked with this bad eating habit will be reduced by up to 30%, he said, adding that this disease prevention measure will lead to a large decrease in healthcare costs in the next decade.   As for food producers, he said, they will possibly be required to display a more legible label on their products to inform consumers about nutrition facts, including information about calories and the sodium contain in the products.   A written health warning message such as “Eating too much salty food is bad for your heath” will possibly be required to be included into food labels, as part of a public campaign to raise public awareness over the need to reduce use of condiments, he said.   State agencies concerned should also come up with financial measures to make healthy food cheaper than the types of food that actually harm the health of people, he said. These government organisations are also encouraged to conduct campaigns for food makers to lower the salt content of their products and educate consumers more about harmful health effects of the salty food eating habit, he said.   This year’s Thai theme of World Kidney Day, is Change Your Attitude and Habits to Live Longer with Kidney Failure , said Dr Sakchai.     The global theme is “Kidney Health for Everyone Everywhere: Living Well with Kidney Disease”.   Both the Social Security Office (SSO) and the NHSO assured they have a highly effective system to take good care of kidney patients registered under their healthcare schemes.  About 20,000 kidney patients needing kidney dialysis are covered by the SSS, which costs about 3 billion baht per year, said Nonglak Koworakun, acting director of Medical Service System Management Bureau of the SSO.     “So, patients with end-stage renal disease need not to worry about this healthcare service. However, although how strongly we are committed to providing kidney dialysis to these patients as long as they need it, we don’t actually want to see more kidney patients [develop end-stage kidney failure],” she said.   Disease prevention always is the best course of action when dealing with kidney disease that requires high-cost treatment, said Kanitsak Chantharaphiphat, director of the NHSO's secondary and tertiary service system support office.    "
93,93, JICA and NHSO Extend Partnership on UHC and Global Health   Tue 23 March 2021  ,"   JICA and NHSO Extend Partnership on UHC and Global Health   Japan International Cooperation Agency (JICA) and National Health Security Office (NHSO) extend the collaboration on universal health coverage (UHC) and global health. The cooperation is a part of the Partnership Project for Global Health and Universal Health Coverage Phase 2 (GLO+UHC Phase 2), aiming to strengthen health financing, health workforce, and global health of Thailand, Japan, and other countries.   In this partnership, JICA, NHSO, and Ministry of Public Health (MOPH) will work together to achieve the three outputs as follows:  1. Share experience on UHC between Thailand and Japan to contribute to improve the UHC in both countries;  2.Organize capacity development for UHC implementation and global health in other countries;  3.Share and promote practical practices and lessons learned in UHC implementation and global health, mainly from Japan and Thailand, at national, regional, and international levels.    From today to 2023, the partnership will deliver a series of capacity-building workshops, lectures, policy recommendations, and study visits to Japan to learn about Japan’s successful UHC system. In addition, Thailand and Japan will share lessons learned and good practices of UHC implementation with other countries, for instance, Asian and African countries which are striving for UHC, at international conferences such as the Prince Mahidol Award Conference (PMAC). This is also a good opportunity to form a network for further international collaboration.   The presence of Thailand and Japan in the global health arena was enhanced as both countries collaborated at a high-level meeting on UHC, drafting a political declaration, and south-south technical collaboration in essential areas of UHC.   The Partnership Project for Global Health and Universal Health Coverage was launched four years ago and achieved fruitful outcomes. Through a wide range of activities, Thai organizations and health officials have improved capacity on many aspects of UHC implementation, for example, healthcare finance, health information system, health workforce, and UHC for children and mothers.   Japan achieved UHC by expanding the public insurance to farmers in 1961, and Thailand achieved UHC in 2002 by launching the Universal Coverage Scheme. Both countries have gained remarkable health outcomes and faced similar challenges, including the increase of healthcare costs and rapid aging.    "
94,94," Andrographis extract is effective in treating related symptoms of COVID-19, observes the Thai Embassy in the UK    Tue 23 March 2021  ","   Andrographis extract is effective in treating related symptoms of COVID-19, observes the Thai Embassy in the UK    Pisanu Suvanajata, Thai Ambassador to the UK, said during an exclusive interview with the National Health Security Office that the embassy had assisted Thai residents living in the UK during the COVID-19 pandemic, including delivering Andrographis extract capsules to members of the Thai community in the UK.    Many Thai students gave feedback stating that Andrographis extract is very effective in handling symptoms related to COVID-19. Amazingly, for youths who are not people of vulnerable group, taking the capsules and having sufficient rest, they usually getting better, if not fully recovered, within three days. With this great result in treatment, the Thai embassy ordered over 100 bottles of Andrographis extract capsules from Thailand as a supply to assist members of the Thai community in the UK who are in need together with other basic necessary medicine.   Currently, the Department of Thai Traditional and Alternative Medicine, Faculty of Medicine Siriraj Hospital, Chulabhorn Research Institute, and the Government Pharmaceutical Organization are undertaking research in the use of Andrographis extract for treating COVID-19 patients.   With this magnificent result despite no scientific evidence at present, Mr Pisanu suggests that:    ""Thailand should put our seriousness in research and development of Andrographis in search of its medicinal qualities, producing scientific prove, and effectively utilize Andrographis extract for treatment of various diseases."" He added that around 60,000 Thai citizens have registered with the Thai embassy in the UK. Many of them are affected by the pandemic, including Thai students and the Thais who currently have British citizenship.    Around 3,000 Thai students remain in the UK, while the other 7,000 returned to Thailand during the pandemic.     “The Thai community in the UK is very strong and cohesive. As a Thais, they have kinship and solidarity. They therefore always render mutual assistances in time of crisis,"" he said.  Andrographis extract is effective in treating related symptoms of COVID-19, observes the Thai Embassy in the UK    Pisanu Suvanajata, Thai Ambassador to the UK, said during an exclusive interview with the National Health Security Office that the embassy had assisted Thai residents living in the UK during the COVID-19 pandemic, including delivering Andrographis extract capsules to members of the Thai community in the UK.    Many Thai students gave feedback stating that Andrographis extract is very effective in handling symptoms related to COVID-19. Amazingly, for youths who are not people of vulnerable group, taking the capsules and having sufficient rest, they usually getting better, if not fully recovered, within three days. With this great result in treatment, the Thai embassy ordered over 100 bottles of Andrographis extract capsules from Thailand as a supply to assist members of the Thai community in the UK who are in need together with other basic necessary medicine.   Currently, the Department of Thai Traditional and Alternative Medicine, Faculty of Medicine Siriraj Hospital, Chulabhorn Research Institute, and the Government Pharmaceutical Organization are undertaking research in the use of Andrographis extract for treating COVID-19 patients.   With this magnificent result despite no scientific evidence at present, Mr Pisanu suggests that:    ""Thailand should put our seriousness in research and development of Andrographis in search of its medicinal qualities, producing scientific prove, and effectively utilize Andrographis extract for treatment of various diseases."" He added that around 60,000 Thai citizens have registered with the Thai embassy in the UK. Many of them are affected by the pandemic, including Thai students and the Thais who currently have British citizenship.    Around 3,000 Thai students remain in the UK, while the other 7,000 returned to Thailand during the pandemic.    “The Thai community in the UK is very strong and cohesive. As a Thais, they have kinship and solidarity. They therefore always render mutual assistances in time of crisis,"" he said.     "
